,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
47,0.91,0.74,-6.712,0.0399,0.0866,0.0104,0.0753,0.557,114.027,7CDmOoIXrtknQN5zcpHRBr,172562
48,0.87,0.45,-12.221,0.0434,0.00491,0.414,0.0514,0.508,112.987,3Ry6M5to0EblssBg3pfJt8,116427
49,0.842,0.728,-6.289,0.148,0.485,1.7e-06,0.101,0.707,105.993,1GYffAby5VxcjjIp7j0ea7,176604
50,0.57,0.225,-17.168,0.029,0.306,0.0586,0.0689,0.408,151.78,3c6wivu78aLN7ZXp8UbpaI,429973
51,0.569,0.314,-8.241,0.0579,0.845,2.03e-05,0.12,0.311,179.332,2JlQOgJZdvQ5YJrVxY13wQ,249560
52,0.39,0.582,-9.822,0.0427,0.466,0.356,0.292,0.561,79.633,36huM0UOR9A17TYAape2Xg,301242
53,0.42,0.396,-8.807,0.0314,0.674,0.00495,0.103,0.406,70.898,3aPOQ6TdIuAW8m1KZid1Hv,210773
54,0.54,0.254,-14.993,0.0948,0.895,0.956,0.109,0.713,86.958,2PdCpqwqkFbGB0dJXFMsvu,151827
55,0.536,0.427,-13.12,0.0574,0.714,0.028,0.109,0.409,196.034,1QnWVnnt2AOT7psq22mO5I,287999
56,0.702,0.269,-15.172,0.0365,0.626,0.0406,0.125,0.397,99.747,05CF4ATpqROLTQVYABNZ3W,386973
57,0.729,0.441,-13.088,0.0374,0.586,0.24,0.093,0.293,124.957,1YQmUOQUxVeHebdKBX6m71,240560
58,0.81,0.465,-13.289,0.054,0.282,0.00216,0.0899,0.253,95.133,2LQwuRI1h4Q4qk4HzK9zE2,186347
59,0.361,0.31,-12.102,0.0398,0.802,0.687,0.128,0.408,177.659,56K7H3Ipsce0Csn2v4u8kZ,355840
60,0.721,0.435,-9.476,0.0438,0.872,0.000104,0.108,0.944,116.865,795HmjjJWGQUMfL3foScIr,124055
61,0.481,0.299,-11.755,0.0378,0.806,0.371,0.173,0.463,102.779,6F28CLAzz6JwhfkBjyEgKx,106680
62,0.56,0.501,-5.442,0.0314,0.725,0.000136,0.107,0.22,90.301,4anx9dy5q5vU1B0kwNRmrR,266123
63,0.531,0.435,-8.304,0.0491,0.638,0.00301,0.102,0.714,131.926,0pKqawIX3uh1iycrPw5LMQ,219667
64,0.58,0.612,-11.631,0.0735,0.107,0.0365,0.226,0.555,124.022,4W3W4cbErPT3JCW60IxKKj,403693
65,0.663,0.265,-10.765,0.071,0.887,0.894,0.112,0.301,77.081,4bT1rl9bnULJw7ivrXozfQ,141360
66,0.54,0.359,-12.122,0.0337,0.811,0.907,0.0878,0.2,113.376,2st24VONuY9hqiGAPkhyua,279347
67,0.312,0.2,-15.33,0.0304,0.731,6.92e-05,0.0694,0.438,163.319,2a5WbaVANXN8Dj4aNmBosD,263440
68,0.74,0.702,-6.992,0.0455,0.25,0.44,0.146,0.629,121.36,1fd4zR1mI316y8y8Yq5txJ,210880
69,0.773,0.4,-9.245,0.249,0.881,0.489,0.0807,0.588,107.392,67MvBcAEhyKnyNdT1A54wi,88360
70,0.424,0.538,-17.016,0.0966,0.707,0.00644,0.0774,0.5,172.936,7L5FEYVfpIEGHJOv6gZ6EW,324920
71,0.749,0.543,-10.006,0.04,0.605,0.00184,0.227,0.942,121.523,2m9TLj1eU3qZT895FOIm0v,228782
72,0.617,0.827,-8.936,0.0348,0.125,0.198,0.085,0.846,101.154,4oYwvjJ2Yq3Yn4Fqgn3uOg,284840
73,0.634,0.49,-11.023,0.028,0.854,0.000346,0.0885,0.704,91.591,0V9DjtOmk3yxz8HeEyxYsY,304080
