,Unnamed: 0,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
45,45,0.151,0.0857,-25.567,0.0521,0.984,0.0636,0.0899,0.0621,78.785,6brnswWmZ8Xdf4MWeskofY,218107
46,46,0.266,0.00361,-29.735,0.052,0.995,0.925,0.0723,0.0631,94.861,29S6PLRccSCyKozzwIik0J,160453
47,47,0.156,0.0645,-24.416,0.0516,0.993,0.9,0.0757,0.0363,89.281,14DLTNK9HrUbwJM0H9FGxI,109493
48,48,0.195,0.0429,-17.829,0.0381,0.879,0.00057,0.0787,0.0394,75.159,7f6yQYQ600Klj3v56omFJR,250800
49,49,0.213,0.0868,-27.444,0.0413,0.952,0.907,0.111,0.44,138.349,6sLr7HzQe2xQVhBmhrT3vU,163733
50,50,0.246,0.0735,-24.199,0.0675,0.994,0.894,0.0775,0.0378,66.541,7auzpFwCwJhgwkQ8jQdtWb,161520
51,51,0.152,0.0274,-29.234,0.0478,0.979,0.895,0.107,0.0398,88.171,3mk0kPavvau5tz8b174cdl,300232
52,52,0.37,0.0076,-33.663,0.0384,0.995,0.91,0.0864,0.278,62.668,3NbAsIxDL0fVgNuCLD152P,176518
53,53,0.106,0.132,-15.584,0.0531,0.894,0.632,0.127,0.0398,66.638,0RpkVigRs7isnjAaK6WOdQ,328894
54,54,0.406,0.00921,-31.822,0.087,0.984,0.906,0.0953,0.303,80.507,2Imxyb3LiuXsDFo7Gq5YDs,215800
55,55,0.209,0.0193,-31.754,0.0413,0.952,0.0125,0.296,0.0603,100.426,2oBEw0ppansoY565M3QSjZ,192373
56,56,0.197,0.00138,-43.657,0.0505,0.992,0.86,0.0508,0.228,72.243,7wimV3Cs7awovZner8YvD5,220827
57,57,0.239,0.0142,-29.65,0.0438,0.995,0.894,0.0659,0.306,172.559,2Tz7fLm0pWasWCCfJiHPlJ,243373
58,58,0.288,0.0386,-26.513,0.0374,0.976,0.937,0.103,0.133,132.239,5liyqr2PFQKbYPKRAjedvq,142480
59,59,0.321,0.0272,-25.066,0.037,0.993,0.919,0.0947,0.0632,74.69,4h4py9AzEuUGBTJZO4ifnm,221732
60,60,0.235,0.183,-15.257,0.0438,0.918,0.229,0.0985,0.0458,97.898,0enxWAXiYB6JEVqzIRgDba,193320
61,61,0.505,0.433,-13.923,0.0343,0.875,0.907,0.111,0.145,133.999,3bagw7W1Q4nsecXdDV5CAx,155805
62,62,0.174,0.143,-15.095,0.0495,0.92,0.857,0.119,0.0456,75.639,5TglMMqjxSaHE9j4iIoJZt,252920
63,63,0.245,0.077,-25.633,0.0305,0.957,0.843,0.121,0.0677,73.999,2tJBG2m6K5jUKxzyTZm9Z7,321820
64,64,0.102,0.0419,-24.896,0.0485,0.977,0.834,0.0866,0.0406,170.8,7oenWdkfvoEySYVc0rH6Cq,261720
